split,scenario,scheme,flow,budget,n,truth_in_library_n,correct_unique_k,false_unique_k,truth_covered_k,mean_set_size,rejected_k,ambiguous_k,low_confidence_k,truth_generated_k,truth_pruned_k,library_out_n,library_out_nonempty_k,library_out_false_unique_k,domain_out_n,domain_out_accepted_k,correct_unique_low,correct_unique_high,false_unique_low,false_unique_high,library_out_false_unique_low,library_out_false_unique_high
T_domain,G002_domain_out,H50_Zin50,A,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G002_domain_out,H50_Zin50,B,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G002_domain_out,H50_Zin50,C,7,3,3,0,0,3,7,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G002_domain_out,H50,A,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G002_domain_out,H50,B,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G002_domain_out,H50,C,7,3,3,0,0,3,7,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G002_domain_out,Zin50,A,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G002_domain_out,Zin50,B,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G002_domain_out,Zin50,C,7,3,3,0,0,3,7,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G003_domain_out,H50_Zin50,A,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G003_domain_out,H50_Zin50,B,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G003_domain_out,H50_Zin50,C,7,3,3,0,0,3,7,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G003_domain_out,H50,A,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G003_domain_out,H50,B,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G003_domain_out,H50,C,7,3,3,0,0,3,7,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G003_domain_out,Zin50,A,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G003_domain_out,Zin50,B,0,3,3,0,0,3,3,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T_domain,G003_domain_out,Zin50,C,7,3,3,0,0,3,7,0,3,0,0,0,0,0,0,3,0,0,0.561497031755045,0,0.561497031755045,NaN,NaN
T,ADD_M1_M3,H50_Zin50,A,0,3,0,0,0,0,3,0,3,0,0,3,3,3,0,0,0,0,0.561497031755045,0,0.561497031755045,0,0.561497031755045
T,ADD_M1_M3,H50_Zin50,B,0,3,0,0,0,0,3,0,3,0,0,3,3,3,0,0,0,0,0.561497031755045,0,0.561497031755045,0,0.561497031755045
T,ADD_M1_M3,H50_Zin50,C,7,3,0,0,0,0,7,0,3,0,3,0,3,3,0,0,0,0,0.561497031755045,0,0.561497031755045,0,0.561497031755045
